LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
pcc_lladdress1street1,pcc_LLAddress1Street1,String,,StringType,True,True,True,True,129,,,LL Address 1: Street 1,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{7559630a-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_lladdress1street2,pcc_LLAddress1Street2,String,,StringType,True,True,True,True,130,,,LL Address 1: Street 2,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{e83e9322-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_lladdress1street3,pcc_LLAddress1Street3,String,,StringType,True,True,True,True,131,,,LL Address 1: Street 3,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{09c82a2f-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_lladdress1zippostalcode,pcc_LLAddress1ZIPPostalCode, ,,StringType,True,True,True,True,134,,,LL Address 1: ZIP/Postal Code,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{2b005053-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_llmainphone,pcc_LLMainPhone,String,,StringType,True,True,True,True,135,,,LL Main Phone,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{2577a95f-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_mobile,pcc_Mobile,String,,StringType,True,True,True,True,119,,,Mobile,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{0cdfd68d-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_mouldgrowth,pcc_MouldGrowth,Picklist,,PicklistType,True,True,True,True,99,,,Mould Growth,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{48df0acd-ea01-ed11-82e5-000d3a3aa389},None,Standard
pcc_mouldgrowthname,pcc_mouldgrowthName,Virtual,pcc_mouldgrowth,VirtualType,False,False,False,True,100,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{cec096bb-2d5f-43af-a82d-63188e50f845},None,Standard
pcc_name,pcc_name,String,,StringType,False,False,False,True,34,,The name of the custom entity.,Name,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,,{0ca77ea8-baf7-ec11-bb3d-002248817889},None,Standard
pcc_occupiedfrom,pcc_OccupiedFrom,DateTime,,DateTimeType,True,True,True,True,111,,,Occupied From,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{c9b8204b-eb01-ed11-82e5-000d3a3aa389},None,Standard
